image_id,cluster,PC1,PC2,labels_txt,strong_tags,weak_tags,meme,person,politik,ort,text,meme_weight,person_weight,politik_weight,ort_weight,text_weight,labels_txt_normalized
135,0,-2.625885394246129,-2.6422810752663306,text person politik (meme),"person,politik,text",meme,1,1,1,0,1,0.5,1.0,1.0,0.0,1.0,meme person politik text
136,1,6.421982808297417,-1.0009455295925314,text person politik,"person,politik,text",,0,1,1,0,1,0.0,1.0,1.0,0.0,1.0,person politik text
137,2,-0.32428029005615544,0.0561839927697092,text person politik,"person,politik,text",,0,1,1,0,1,0.0,1.0,1.0,0.0,1.0,person politik text
138,3,3.5906715347062,-2.5215768762482624,text person politik,"person,politik,text",,0,1,1,0,1,0.0,1.0,1.0,0.0,1.0,person politik text
139,3,2.89544374991745,-0.028032612113225806,text person politik,"person,politik,text",,0,1,1,0,1,0.0,1.0,1.0,0.0,1.0,person politik text
140,3,2.695202245624721,-2.3450488931591673,text person politik,"person,politik,text",,0,1,1,0,1,0.0,1.0,1.0,0.0,1.0,person politik text
141,1,8.166709296750733,3.8223600092828063,text meme politik,"meme,politik,text",,1,0,1,0,1,1.0,0.0,1.0,0.0,1.0,meme politik text
142,2,0.08084643124231902,-2.7297347142340436,text,text,,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,text
143,3,4.046383077748044,0.030821427392456628,text,text,,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,text
144,1,8.045730394107306,-1.3825260470056586,text,text,,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,text
146,1,6.192356673301701,-2.394737640418843,text politik,"politik,text",,0,0,1,0,1,0.0,0.0,1.0,0.0,1.0,politik text
147,1,8.575953860765239,-0.04208278530810691,text meme,"meme,text",,1,0,0,0,1,1.0,0.0,0.0,0.0,1.0,meme text
148,3,3.407684623369384,-0.24657962266821606,text meme,"meme,text",,1,0,0,0,1,1.0,0.0,0.0,0.0,1.0,meme text
149,1,5.235437895493542,-0.12588552434003378,text meme,"meme,text",,1,0,0,0,1,1.0,0.0,0.0,0.0,1.0,meme text
150,1,6.1554214715833195,-0.5679648572377539,text meme,"meme,text",,1,0,0,0,1,1.0,0.0,0.0,0.0,1.0,meme text
151,1,9.733681229046656,-0.7543786939142819,text meme (politik),"meme,text",politik,1,0,1,0,1,1.0,0.0,0.5,0.0,1.0,meme politik text
152,1,9.786195976939633,-1.0207511199781278,text meme (politik),"meme,text",politik,1,0,1,0,1,1.0,0.0,0.5,0.0,1.0,meme politik text
153,1,9.393786914610532,-1.779357814797698,text meme (politik),"meme,text",politik,1,0,1,0,1,1.0,0.0,0.5,0.0,1.0,meme politik text
