image_id,primary_label,fixations_total,fixations_first_third,fixations_last_third,view_time_total_sum_ms,fixation_duration_mean_ms,fixation_duration_median_ms,fix_dur_mean_first_third_ms,fix_dur_mean_last_third_ms,scanpath_length_mean_px,fixation_density_entropy,pupil_mm_mean,pupil_mm_std,pupil_norm_mean,pupil_norm_std,pupil_norm_abs_mean,pupil_norm_rms,pupil_size_norm_n,avg_pupil_size_n
140,politik,1820,623,584,536636.0,231.6,216.1,217.4,243.1,3255.2,4.92,3.742,0.152,-0.0,1.0,0.787,0.984,37.142857142857146,37.142857142857146
141,politik,2357,784,772,662199.0,211.2,199.6,216.5,216.5,5109.5,5.293,3.879,0.176,0.0,1.0,0.795,0.986,49.104166666666664,49.104166666666664
142,text,1260,487,375,382024.0,231.3,183.8,193.7,303.4,2642.9,4.506,3.299,0.208,-0.0,1.0,0.723,0.978,26.80851063829787,26.80851063829787
143,text,1687,615,525,474510.0,207.8,199.6,192.2,227.0,4115.8,4.867,3.487,0.157,0.0,1.0,0.756,0.983,35.145833333333336,35.145833333333336
144,text,2489,824,802,651192.0,203.4,183.3,209.3,210.3,4278.5,5.434,3.722,0.16,-0.0,1.0,0.76,0.987,51.833333333333336,51.854166666666664
146,text,2179,751,703,600914.0,211.6,199.5,210.9,217.9,3865.4,5.269,3.241,0.173,0.0,1.0,0.746,0.982,46.361702127659576,46.361702127659576
147,text,2539,828,863,690402.0,206.9,199.7,213.4,208.1,5047.2,5.443,4.021,0.156,-0.0,1.0,0.764,0.989,51.795918367346935,51.816326530612244
148,text,1592,573,515,447002.0,211.5,183.7,202.0,216.9,3475.2,4.667,3.37,0.196,-0.0,1.0,0.729,0.982,32.48979591836735,32.48979591836735
149,text,2030,700,646,552579.0,201.6,183.1,197.3,262.3,4412.6,5.106,3.931,0.153,0.0,1.0,0.777,0.984,41.42857142857143,41.42857142857143
150,text,1992,692,629,534303.0,196.0,182.4,191.2,202.8,4595.1,5.055,3.333,0.164,-0.0,1.0,0.753,0.985,40.6530612244898,40.6530612244898
151,text,2511,860,819,663360.0,206.6,183.6,202.2,206.8,5197.2,5.474,3.282,0.157,-0.0,1.0,0.743,0.99,53.42553191489362,53.42553191489362
152,text,2556,868,840,687252.0,212.4,199.7,214.8,212.6,5004.7,5.499,3.294,0.146,0.0,1.0,0.726,0.99,53.25,53.25
153,text,2487,840,840,691547.0,210.2,199.7,215.7,207.0,4828.2,5.442,3.236,0.163,-0.0,1.0,0.707,0.989,51.8125,51.8125
