participant,image_id,code,primary_label,label_set,file,path,code_meme,code_person,code_politik,code_ort,code_text
000,115,10001,multi,"meme,text",P000_id115_meme_10001.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id115_meme_10001.csv,1,0,0,0,1
000,116,10011,multi,"meme,ort,text",P000_id116_meme_10011.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id116_meme_10011.csv,1,0,0,1,1
000,117,10011,multi,"meme,ort,text",P000_id117_meme_10011.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id117_meme_10011.csv,1,0,0,1,1
000,118,10001,multi,"meme,text",P000_id118_meme_10001.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id118_meme_10001.csv,1,0,0,0,1
000,119,10001,multi,"meme,text",P000_id119_meme_10001.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id119_meme_10001.csv,1,0,0,0,1
000,120,10001,multi,"meme,text",P000_id120_meme_10001.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id120_meme_10001.csv,1,0,0,0,1
000,121,10001,multi,"meme,text",P000_id121_meme_10001.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id121_meme_10001.csv,1,0,0,0,1
000,122,10011,multi,"meme,ort,text",P000_id122_meme_10011.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id122_meme_10011.csv,1,0,0,1,1
000,123,10011,multi,"meme,ort,text",P000_id123_meme_10011.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id123_meme_10011.csv,1,0,0,1,1
000,124,10011,multi,"meme,ort,text",P000_id124_meme_10011.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id124_meme_10011.csv,1,0,0,1,1
000,125,10001,multi,"meme,text",P000_id125_meme_10001.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id125_meme_10001.csv,1,0,0,0,1
000,126,00011,multi,"ort,text",P000_id126_politik_00011.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id126_politik_00011.csv,0,0,0,1,1
000,127,00011,multi,"ort,text",P000_id127_text_00011.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id127_text_00011.csv,0,0,0,1,1
000,128,01001,multi,"person,text",P000_id128_text_01001.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id128_text_01001.csv,0,1,0,0,1
000,129,01001,multi,"person,text",P000_id129_ort_01001.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id129_ort_01001.csv,0,1,0,0,1
000,130,01001,multi,"person,text",P000_id130_ort_01001.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id130_ort_01001.csv,0,1,0,0,1
000,131,00111,multi,"politik,ort,text",P000_id131_person_00111.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id131_person_00111.csv,0,0,1,1,1
000,132,00101,multi,"politik,text",P000_id132_person_00101.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id132_person_00101.csv,0,0,1,0,1
000,133,00101,multi,"politik,text",P000_id133_person_00101.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id133_person_00101.csv,0,0,1,0,1
000,134,00111,multi,"politik,ort,text",P000_id134_politik_00111.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id134_politik_00111.csv,0,0,1,1,1
000,135,10111,multi,"meme,politik,ort,text",P000_id135_politik_10111.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id135_politik_10111.csv,1,0,1,1,1
000,136,00111,multi,"politik,ort,text",P000_id136_politik_00111.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id136_politik_00111.csv,0,0,1,1,1
000,137,00111,multi,"politik,ort,text",P000_id137_politik_00111.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id137_politik_00111.csv,0,0,1,1,1
000,138,00111,multi,"politik,ort,text",P000_id138_politik_00111.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id138_politik_00111.csv,0,0,1,1,1
000,139,00111,multi,"politik,ort,text",P000_id139_politik_00111.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id139_politik_00111.csv,0,0,1,1,1
000,140,00111,multi,"politik,ort,text",P000_id140_politik_00111.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id140_politik_00111.csv,0,0,1,1,1
000,141,10011,multi,"meme,ort,text",P000_id141_politik_10011.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id141_politik_10011.csv,1,0,0,1,1
000,142,00001,text,text,P000_id142_text_00001.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id142_text_00001.csv,0,0,0,0,1
000,143,00001,text,text,P000_id143_text_00001.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id143_text_00001.csv,0,0,0,0,1
000,144,00001,text,text,P000_id144_text_00001.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id144_text_00001.csv,0,0,0,0,1
000,146,00011,multi,"ort,text",P000_id146_text_00011.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id146_text_00011.csv,0,0,0,1,1
000,147,10001,multi,"meme,text",P000_id147_text_10001.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id147_text_10001.csv,1,0,0,0,1
000,148,10001,multi,"meme,text",P000_id148_text_10001.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id148_text_10001.csv,1,0,0,0,1
000,149,10001,multi,"meme,text",P000_id149_text_10001.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id149_text_10001.csv,1,0,0,0,1
000,150,10001,multi,"meme,text",P000_id150_text_10001.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id150_text_10001.csv,1,0,0,0,1
000,151,10011,multi,"meme,ort,text",P000_id151_text_10011.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id151_text_10011.csv,1,0,0,1,1
000,152,10011,multi,"meme,ort,text",P000_id152_text_10011.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id152_text_10011.csv,1,0,0,1,1
000,153,10011,multi,"meme,ort,text",P000_id153_text_10011.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id153_text_10011.csv,1,0,0,1,1
001,001,10000,meme,meme,P001_id001_meme_10000.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P001_id001_meme_10000.csv,1,0,0,0,0
001,002,10000,meme,meme,P001_id002_meme_10000.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P001_id002_meme_10000.csv,1,0,0,0,0
001,003,10000,meme,meme,P001_id003_meme_10000.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P001_id003_meme_10000.csv,1,0,0,0,0
001,004,10000,meme,meme,P001_id004_meme_10000.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P001_id004_meme_10000.csv,1,0,0,0,0
001,005,10000,meme,meme,P001_id005_meme_10000.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P001_id005_meme_10000.csv,1,0,0,0,0
001,006,10000,meme,meme,P001_id006_meme_10000.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P001_id006_meme_10000.csv,1,0,0,0,0
001,007,10000,meme,meme,P001_id007_meme_10000.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P001_id007_meme_10000.csv,1,0,0,0,0
001,008,10000,meme,meme,P001_id008_meme_10000.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P001_id008_meme_10000.csv,1,0,0,0,0
001,009,10000,meme,meme,P001_id009_meme_10000.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P001_id009_meme_10000.csv,1,0,0,0,0
001,010,10000,meme,meme,P001_id010_meme_10000.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P001_id010_meme_10000.csv,1,0,0,0,0
