file,n_fix,view_time_total,sum_fix_dur,fix_dur_mean,fix_dur_median,scanpath_length,bcea_68,bcea_95,participant,image_id,primary_label
P043_id029_ort_01000.csv,17,6406.652,4974.849000000001,292.6381764705883,266.72800000000007,1875.9144493137233,64042.37923355099,168532.5769303973,043,029,ort
P043_id030_ort_01000.csv,15,5291.404,4079.4360000000015,271.9624000000001,266.702,1386.5432028054154,43178.937523097804,113628.78295552054,043,030,ort
P043_id031_ort_01000.csv,16,5806.766,5059.230999999999,316.20193749999993,266.00199999999995,1608.9503942844408,29761.735986661366,78320.35785963517,043,031,ort
P043_id032_ort_01000.csv,14,5624.102,4793.2609999999995,342.37578571428566,308.0775000000001,1886.757409539013,39555.27581668776,104092.83109654674,043,032,ort
P043_id033_person_00101.csv,42,10033.95,8743.108000000002,208.16923809523814,183.326,4462.028331882177,112259.58852170447,295419.96979395906,043,033,person
P043_id034_person_00101.csv,29,10798.403,9784.25,337.38793103448273,299.492,2437.723509833468,88639.39626425975,233261.56911647302,043,034,person
P043_id035_person_00100.csv,21,7620.849,6790.450000000001,323.3547619047619,265.64300000000003,2581.6380505540806,64568.78946172848,169917.86700454864,043,035,person
P043_id036_person_00100.csv,15,5513.61,4944.958,329.66386666666665,316.6269999999995,1754.8725211888159,72160.2104257932,189895.29059419263,043,036,person
P043_id037_person_00100.csv,22,8536.744,7569.945000000002,344.0884090909092,316.03300000000013,1887.0369638907669,45816.79426890736,120570.51123396674,043,037,person
P043_id038_person_00100.csv,14,5158.788,4341.788,310.12771428571426,265.6355000000001,1471.7438426905055,27547.092904727364,72492.34974928254,043,038,person
P043_id039_person_00100.csv,43,12912.239,11303.496000000001,262.872,265.64300000000003,4937.460003407396,129606.08690427638,341068.64974809584,043,039,person
P043_id040_person_00100.csv,30,10782.778,9234.109999999997,307.8036666666666,241.51849999999968,3718.4945320619577,86540.76180799014,227738.84686313197,043,040,person
P043_id041_person_00100.csv,21,6889.09,5906.528000000001,281.26323809523814,265.5150000000003,2552.217552740036,103242.65300268092,271691.19211231824,043,041,person
P043_id042_person_00100.csv,18,6739.228,5911.084999999999,328.39361111111106,291.164,2508.680705161353,46645.84874978574,122752.23355206777,043,042,person
P043_id043_person_00100.csv,22,9816.849,8640.074999999997,392.73068181818167,315.9794999999997,2651.6247090828265,168997.93976477723,444731.42043362424,043,043,person
P043_id044_person_00100.csv,40,13445.33,11685.523000000001,292.138075,258.0055,4984.033015834699,83429.3221339965,219550.84772104342,043,044,person
P043_id045_person_00100.csv,26,8149.769,7087.297,272.58834615384615,258.1249999999998,2977.115119804983,102670.17223649309,270184.66378024494,043,045,person
P043_id046_person_00100.csv,17,5257.235,4442.654999999999,261.33264705882345,216.6790000000001,1607.6205361911307,29011.774265473254,76346.77438282437,043,046,person
P043_id047_person_00100.csv,17,6073.053,4892.451,287.79123529411766,266.35599999999977,2477.7287492525707,91318.57555858871,240312.04094365452,043,047,person
P043_id048_person_00100.csv,38,11964.752,10535.638,277.25363157894736,233.55550000000017,3736.2329504508066,138407.92041589276,364231.36951550737,043,048,person
P043_id049_person_00100.csv,34,10417.297,8804.729000000001,258.96261764705883,233.05050000000077,3082.4159778356416,114360.73623311218,300949.305876611,043,049,person
P043_id050_person_00100.csv,37,11681.488,10139.494999999997,274.04040540540535,232.86000000000053,3638.5563520874816,93335.07066514033,245618.6070135272,043,050,person
